"downloaded","item_id","item_definition","category","8","9","10","11","12","13","14","15","16"
2023-03-22,274,"مامان","people",0.29,0.38,0.25,0.31,0.09,0.5,0.53,0.58,0.5
2023-03-22,275,"مادربزرگ*","people",0,0.05,0.06,0,0.09,0,0.47,0.33,0.25
2023-03-22,276,"نوه","people",0,0,0.06,0,0,0,0.07,0,0.25
2023-03-22,277,"نی نی/ بِه بِه","people",0,0.1,0.19,0.15,0.18,0.21,0.53,0.33,0.25
2023-03-22,278,"اتل متل توتوله","games_routines",0,0,0,0.08,0.18,0.07,0.27,0.25,0.5
2023-03-22,279,"بله","games_routines",0,0,0.06,0,0,0.29,0.4,0.42,0.5
2023-03-22,280,"جیش","games_routines",0,0.05,0.12,0,0.09,0.14,0.33,0.33,0.5
2023-03-22,281,"چُرت/خواب/لالا","games_routines",0,0.1,0.12,0,0,0.21,0.33,0.33,0.5
2023-03-22,282,"حمام کردن","games_routines",0,0.05,0.12,0.08,0,0.07,0.33,0.25,0
2023-03-22,283,"خداحافظی","games_routines",0,0.1,0.12,0.23,0.27,0.29,0.47,0.42,0.5
2023-03-22,284,"کلاغ پَر","games_routines",0,0.05,0.06,0,0.27,0.36,0.13,0.42,0.75
2023-03-22,285,"دالّی/ داکّی","games_routines",0.14,0.19,0.19,0.38,0.55,0.5,0.47,0.5,0.5
2023-03-22,286,"سلام","games_routines",0,0.1,0.06,0,0.18,0.14,0.27,0.17,0.25
2023-03-22,287,"شام","games_routines",0,0,0.06,0,0,0,0.2,0,0
2023-03-22,288,"شب بخیر","games_routines",0,0.05,0.06,0,0,0,0.13,0,0
2023-03-22,289,"صبحانه","games_routines",0,0,0.06,0,0,0,0.07,0,0
2023-03-22,290,"صبر کردن(وایسا)","games_routines",0,0,0.06,0,0,0,0.13,0,0.25
2023-03-22,291,"لی لی حوضک","games_routines",0,0,0.06,0.08,0,0.07,0.07,0.17,0.5
2023-03-22,292,"مرسی/ممنون/متشکرم","games_routines",0,0,0.06,0,0,0,0.07,0,0.5
2023-03-22,293,"می خوام","games_routines",0,0.05,0.06,0,0,0.14,0.27,0.25,0.5
2023-03-22,294,"ناهار","games_routines",0,0,0.06,0,0,0.07,0,0,0
2023-03-22,295,"نه","games_routines",0,0.05,0.12,0.08,0.09,0.36,0.4,0.58,0.5
2023-03-22,296,"هیس/ ش","games_routines",0,0.05,0.06,0.08,0,0.36,0.33,0.5,0.25
2023-03-22,297,"آمدن","action_words",0,0,0,0,0,0,0.2,0.08,0
2023-03-22,298,"آوردن","action_words",0,0,0,0,0,0,0.13,0.08,0
2023-03-22,299,"آشتی کردن","action_words",0,0,0,0,0,0,0,0,0
2023-03-22,300,"افتادن","action_words",0,0,0.06,0,0,0,0.27,0.17,0
2023-03-22,301,"ایستادن","action_words",0,0.05,0.06,0,0,0,0.13,0.08,0
2023-03-22,302,"باز کردن","action_words",0,0.05,0.06,0,0,0,0.2,0.08,0.25
2023-03-22,303,"بازی کردن","action_words",0,0.05,0.06,0.08,0,0,0.2,0.17,0
2023-03-22,304,"بردن","action_words",0,0,0.06,0,0,0,0.13,0.08,0
2023-03-22,305,"بستن","action_words",0,0,0.06,0.08,0,0.07,0.13,0.17,0
2023-03-22,306,"بوسیدن","action_words",0,0,0.06,0,0,0.14,0.2,0.17,0.25
2023-03-22,307,"پختن","action_words",0,0,0,0,0,0,0,0,0
2023-03-22,308,"پرت کردن","action_words",0,0.05,0.06,0.08,0,0.07,0.13,0.08,0.25
2023-03-22,309,"پریدن","action_words",0,0,0.06,0,0,0,0.13,0,0
2023-03-22,310,"تاب خوردن","action_words",0,0.05,0.06,0,0.09,0.21,0.33,0.17,0
2023-03-22,311,"تکان دادن","action_words",0,0.05,0.06,0.08,0,0.07,0.13,0.17,0
2023-03-22,312,"تمیزکردن/پاک کردن","action_words",0,0,0.06,0,0,0.14,0.2,0.17,0
2023-03-22,313,"ترسیدن","action_words",0,0.05,0,0.08,0,0,0.07,0.08,0.5
2023-03-22,314,"جیغ کشیدن","action_words",0.14,0.14,0.06,0.08,0.09,0.29,0.27,0.17,0.25
2023-03-22,315,"شانه کردن","action_words",0,0,0,0.08,0,0.07,0.27,0.17,0
2023-03-22,316,"خاموش کردن","action_words",0,0,0.06,0,0,0.07,0.13,0.08,0.25
2023-03-22,317,"خجالت کشیدن","action_words",0,0,0,0.15,0,0,0.13,0.08,0
2023-03-22,318,"خندیدن","action_words",0.14,0.14,0.06,0.23,0,0.07,0.2,0.17,0.25
2023-03-22,319,"خوردن","action_words",0,0.1,0.06,0.15,0,0.07,0.2,0.17,0.25
2023-03-22,320,"خوردن (اصابت کردن)","action_words",0,0,0.06,0,0,0.07,0.13,0,0.25
2023-03-22,321,"خواندن","action_words",0,0,0.06,0,0,0,0.13,0.17,0
2023-03-22,322,"خوابیدن","action_words",0,0,0.06,0.08,0,0.07,0.13,0.33,0.25
2023-03-22,323,"درد گرفتن","action_words",0,0.05,0.06,0.15,0,0.14,0.13,0.17,0.25
2023-03-22,324,"دعا کردن","action_words",0,0,0.06,0,0,0,0.13,0.25,0
2023-03-22,325,"دویدن","action_words",0,0,0.06,0,0,0,0.13,0.17,0
2023-03-22,326,"دوست داشتن","action_words",0,0,0.06,0,0,0,0.07,0.17,0
2023-03-22,327,"دیدن/نگاه کردن","action_words",0,0.05,0.06,0,0,0.07,0.13,0.25,0
2023-03-22,328,"رانندگی کردن","action_words",0,0,0.06,0.08,0,0,0.13,0.08,0
2023-03-22,329,"راه رفتن","action_words",0,0.05,0.06,0,0.09,0.14,0.2,0.17,0
2023-03-22,330,"رفتن","action_words",0,0,0.06,0,0.09,0.07,0.2,0.25,0
2023-03-22,331,"زمین خوردن","action_words",0,0,0.06,0.08,0,0.07,0.13,0.17,0
2023-03-22,332,"سلام کردن","action_words",0,0,0.06,0,0,0.07,0.2,0.08,0.25
2023-03-22,333,"سینه زدن","action_words",0,0.05,0.06,0,0,0.14,0.07,0.17,0.25
2023-03-22,334,"شناکردن","action_words",0,0,0,0,0,0,0.07,0.08,0
2023-03-22,335,"طبل زدن/ضربه زدن/کوبیدن","action_words",0,0.05,0.06,0.15,0,0.14,0.13,0.17,0.5
2023-03-22,336,"غذا دادن","action_words",0,0.05,0.06,0,0,0.07,0.13,0.25,0.5
2023-03-22,337,"قلقلک دادن","action_words",0,0,0.06,0,0,0,0.13,0.08,0
2023-03-22,338,"فوت کردن","action_words",0,0,0.06,0.08,0,0.21,0.13,0.42,0.5
2023-03-22,339,"قصه گفتن","action_words",0,0,0.06,0,0,0,0.07,0.08,0
2023-03-22,340,"کتک زدن","action_words",0,0,0.06,0,0.09,0.14,0.13,0.25,0
2023-03-22,341,"کشیدن","action_words",0,0,0,0.08,0.09,0.07,0.13,0.17,0
2023-03-22,342,"کمک کردن","action_words",0,0,0.06,0,0,0,0.13,0.17,0.25
