Number,Word (Portuguese),Word (English),Imag_M,Imag_SD,Conc_M,Conc_SD,Subfreq_M,Subfreq_SD,P-PAL_Nlett,P-PAL_Nsyll,P-PAL_Syllabicstruct,P-PAL_PoS,P-PAL_FREQmil,P-PAL_FREQlog10,P-PAL_FREQZipf,P-PAL_ON,P-PAL_OLD20
1449,esgoto,sewer,5.53,1.52,5.88,1.19,3.43,1.06,6,3,VC.CV.CV,"N,V",3.434,0.647,3.536,2,1.800
1450,esmagador,overwhelming,3.75,2.05,3.29,1.71,3.45,1.01,9,4,VC.CV.CV.CVC,"ADJ,N",1.817,0.450,3.259,1,2.150
1451,esófago,esophagus,4.92,2.10,6.02,1.45,2.82,1.28,7,4,V.CV.CV.CV,N,0.503,0.177,2.702,0,2.800
1452,espacial,spatial,4.46,2.00,3.37,1.74,3.20,1.26,8,4,VC.CV.CV.VC,ADJ,22.966,1.380,4.361,1,2.800
1453,espaço,space,4.56,2.00,3.61,2.13,5.66,1.37,6,3,VC.CV.CV,"N,V",302.642,2.482,5.481,3,1.750
1454,espada,sword,6.17,1.15,6.58,0.74,3.45,1.78,6,3,VC.CV.CV,N,8.984,0.999,3.954,5,1.500
1455,espadarte,swordfish,4.60,1.99,4.90,2.08,1.98,0.97,9,4,VC.CV.CVC.CV,N,0.537,0.187,2.730,0,2.850
1456,espanador,duster,5.30,1.98,6.09,1.29,3.07,1.20,9,4,VC.CV.CV.CVC,N,0.034,0.015,1.534,0,1.950
1457,espanhol,Spanish,4.32,2.19,4.43,1.86,4.19,1.43,8,3,VC.CV.CCVC,"ADJ,N",101.855,2.012,5.008,0,2.050
1458,espantado,astonished,4.10,1.80,3.40,1.92,4.56,1.25,9,4,VC.CVC.CV.CV,"ADJ,V",3.073,0.610,3.488,2,1.800
1459,espanto,amazement,3.98,1.78,3.12,1.84,4.35,1.51,7,3,VC.CVC.CV,"N,V",13.537,1.163,4.132,3,1.700
1460,espantoso,astonishing,3.37,1.67,2.95,1.68,4.40,1.43,9,4,VC.CVC.CV.CV,ADJ,5.809,0.833,3.764,1,2.200
1461,espargo,asparagus,4.97,2.13,6.00,1.50,2.80,1.21,7,3,VC.CVC.CV,N,0.078,0.033,1.893,3,1.800
1462,esparguete,spaghetti,6.24,1.35,6.56,0.83,4.96,1.32,10,4,VC.CVC.CVV.CV,N,0.498,0.176,2.698,0,3.500
1463,especial,special,3.68,2.13,3.02,1.62,5.46,1.16,8,4,VC.CV.CV.VC,ADJ,146.214,2.168,5.165,1,2.600
1464,espécie,species,3.82,1.98,3.95,1.98,4.21,1.36,7,3,VC.CV.CVV,N,123.800,2.096,5.093,0,2.550
1465,espectacular,spectacular,3.76,1.88,2.55,1.47,5.88,1.17,12,5,VC.CVC.CV.CV.CVC,ADJ,17.836,1.275,4.251,0,3.900
1466,espectáculo,show,5.48,1.52,4.47,1.73,4.95,1.44,11,5,VC.CVC.CV.CV.CV,N,156.092,2.196,5.193,0,3.700
1467,espectador,viewer,4.78,1.76,5.42,1.48,4.88,1.30,10,4,VC.CVC.CV.CVC,N,21.930,1.360,4.341,1,2.200
1468,especulação,speculation,3.00,1.68,2.52,1.36,3.70,1.50,11,5,VC.CV.CV.CV.CVV,N,12.580,1.133,4.100,1,2.750
1469,espelho,mirror,6.15,1.16,6.60,0.85,5.55,1.34,7,3,VC.CV.CCV,"N,V",16.610,1.246,4.220,3,1.750
1470,espera,waiting,3.56,1.87,3.26,1.53,6.13,1.06,6,3,VC.CV.CV,"N,V",193.528,2.289,5.287,8,1.300
1471,esperança,hope,3.41,1.92,2.81,2.03,4.84,1.23,9,4,VC.CV.CVC.CV,"N,V",65.820,1.825,4.818,0,2.250
1472,esperto,smart,4.23,1.96,3.41,1.84,5.47,1.38,7,3,VC.CVC.CV,"ADJ,N,V",1.593,0.414,3.202,4,1.550
1473,espesso,thick,4.18,1.78,4.24,1.70,3.72,1.63,7,3,VC.CVC.CV,"ADJ,V",2.208,0.506,3.344,1,1.950
1474,espinafre,spinach,5.27,1.98,6.60,0.63,3.42,1.29,9,4,VC.CV.CV.CCV,N,0.054,0.023,1.730,0,3.150
1475,espingarda,rifle,5.69,1.89,6.59,0.78,3.02,1.25,10,4,VC.CVC.CVC.CV,N,3.923,0.692,3.594,0,2.450
1476,espinho,thorn,5.34,1.82,5.77,1.40,2.98,1.00,7,3,VC.CV.CCV,"N,V",19.727,1.317,4.295,2,1.850
1477,espírito,spirit,3.37,1.99,2.32,1.53,4.69,1.55,8,4,VC.CV.CV.CV,N,84.111,1.930,4.925,1,2.300
1478,espirituoso,witty,3.16,1.85,2.68,1.47,3.18,1.04,11,6,VC.CV.CV.CV.V.CV,ADJ,0.264,0.102,2.421,1,3.300
1479,esplanada,terrace,6.20,1.26,6.11,1.17,5.02,1.34,9,4,VC.CCV.CV.CV,N,8.755,0.989,3.942,1,2.200
1480,esponja,sponge,5.40,1.85,6.42,0.99,4.98,1.49,7,3,VC.CVC.CV,"N,V",1.612,0.417,3.207,0,1.850
1481,espora,spur,3.84,2.27,3.94,1.89,1.96,0.95,6,3,VC.CV.CV,N,0.093,0.039,1.968,6,1.650
1482,esposa,wife,5.07,1.99,6.28,0.95,4.07,1.65,6,3,VC.CV.CV,"N,V",14.685,1.196,4.167,3,1.700
1483,esposo,spouse,5.02,1.95,4.70,1.88,3.09,1.77,6,3,VC.CV.CV,"N,V",1.339,0.369,3.127,2,1.800
1484,espuma,foam,5.72,1.50,5.64,1.54,4.30,1.28,6,3,VC.CV.CV,"N,V",3.957,0.695,3.597,3,1.700
1485,esquadra,squad,5.08,2.07,5.67,1.59,3.75,1.37,8,3,VC.CVV.CCV,N,22.028,1.362,4.343,2,2.100
1486,esquecimento,forgetfulness,3.22,1.78,3.03,1.69,5.37,1.13,12,5,VC.CVV.CV.CVC.CV,N,10.904,1.076,4.038,0,3.000
