Words,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,mean,std,%unknown
federaal,2,6,5,1,7,3,6,7,7,6,6,7,5,4,5,7,7,1,3,7,5.10,2.07,0
feeëriek,1,1,4,NaN,NaN,NaN,NaN,6,NaN,3,5,3,4,NaN,6,4,7,6,NaN,5,4.23,1.88,0.35
fel,4,4,4,5,4,3,5,5,5,6,2,3,2,2,3,5,7,4,3,4,4.00,1.34,0
ferm,2,4,1,1,2,2,5,1,NaN,6,2,3,5,3,5,5,1,3,3,4,3.05,1.61,0.05
fier,3,6,2,1,4,4,5,7,3,5,3,4,5,4,4,6,3,6,6,4,4.25,1.52,0
fijn,3,3,2,3,5,2,3,2,5,5,1,5,6,3,2,5,3,3,1,6,3.40,1.57,0
fiks,2,2,NaN,1,3,5,3,3,NaN,2,2,2,5,4,5,6,2,3,3,3,3.11,1.37,0.1
filosofisch,2,5,4,1,6,2,6,2,4,2,1,2,5,4,4,4,1,1,4,5,3.25,1.71,0
fiscaal,4,5,2,1,4,2,4,7,6,NaN,7,5,5,5,6,7,5,4,3,5,4.58,1.71,0.05
fit,2,2,1,5,5,6,4,6,5,5,6,5,5,4,5,5,5,4,5,4,4.45,1.36,0
flagrant,5,4,6,NaN,NaN,1,4,1,4,NaN,3,NaN,3,3,1,4,5,NaN,NaN,4,3.43,1.55,0.3
flauw,5,3,7,5,4,5,6,2,5,7,5,2,4,3,2,4,5,7,5,4,4.50,1.57,0
flets,4,3,7,4,7,4,4,5,4,5,2,5,NaN,2,2,3,3,2,1,5,3.79,1.65,0.05
fleurig,6,4,4,5,4,6,4,5,6,4,5,3,3,5,6,2,7,7,3,2,4.55,1.50,0
flink,3,5,1,1,4,3,5,1,3,6,3,3,5,4,5,5,2,4,4,3,3.50,1.47,0
